user_id,mix_id,mix_name,mix_tags,track_id,track_name,artist_name,voice_instrumental_value,voice_instrumental_prob,bpm,danceability_value,danceability_prob,tone
688472,439280,kokdeblade A.k.A D33|\|B33:GAMING/[FOCUS]\M|X,"gaming, dubstep, focus, adrenaline, drum and bass",4876743,Remorse Code - Transcend,piax
688472,439280,kokdeblade A.k.A D33|\|B33:GAMING/[FOCUS]\M|X,"gaming, dubstep, focus, adrenaline, drum and bass",4439152,Turret Error - Ephixa [Portal 2 Electro Dubstep Remix],ephixa
688472,439280,kokdeblade A.k.A D33|\|B33:GAMING/[FOCUS]\M|X,"gaming, dubstep, focus, adrenaline, drum and bass",4876712,Hadouken! - Turn The Lights Out (Spor Remix),hadouken
688472,439280,kokdeblade A.k.A D33|\|B33:GAMING/[FOCUS]\M|X,"gaming, dubstep, focus, adrenaline, drum and bass",4876690,Metamorphosis,Blue_Stahli
688472,439280,kokdeblade A.k.A D33|\|B33:GAMING/[FOCUS]\M|X,"gaming, dubstep, focus, adrenaline, drum and bass",4876752,Switchback,Celldweller,instrumental,0.744582951069,112.276870728,not_danceable,1,major
688472,439280,kokdeblade A.k.A D33|\|B33:GAMING/[FOCUS]\M|X,"gaming, dubstep, focus, adrenaline, drum and bass",4876727,Skrillex - Fucking Die 2 (€€ Cooper Mix),LoonatikzDUB
688472,439280,kokdeblade A.k.A D33|\|B33:GAMING/[FOCUS]\M|X,"gaming, dubstep, focus, adrenaline, drum and bass",4877226,Pendulum - Blood Sugar,AggesMusic
688472,439280,kokdeblade A.k.A D33|\|B33:GAMING/[FOCUS]\M|X,"gaming, dubstep, focus, adrenaline, drum and bass",4877061,Awaking State - Out There (Subsonik Remix),gir7
688472,439280,kokdeblade A.k.A D33|\|B33:GAMING/[FOCUS]\M|X,"gaming, dubstep, focus, adrenaline, drum and bass",4270948,Hey Sexy Lady (Skrillex Remix),Whompspot
688472,439280,kokdeblade A.k.A D33|\|B33:GAMING/[FOCUS]\M|X,"gaming, dubstep, focus, adrenaline, drum and bass",4486749,"Pendulum - The Island, Part 2 (Dusk)",nookmusic
688472,439280,kokdeblade A.k.A D33|\|B33:GAMING/[FOCUS]\M|X,"gaming, dubstep, focus, adrenaline, drum and bass",4876771,BENGILI (ULTRA),ULTRA
688472,439280,kokdeblade A.k.A D33|\|B33:GAMING/[FOCUS]\M|X,"gaming, dubstep, focus, adrenaline, drum and bass",4877118,Bombshock,hadouken,voice,0.996913313866,144.918716431,danceable,0.999867081642,minor
688472,439280,kokdeblade A.k.A D33|\|B33:GAMING/[FOCUS]\M|X,"gaming, dubstep, focus, adrenaline, drum and bass",4654046,Delta Heavy - Space Time,Delta Heavy
688472,439280,kokdeblade A.k.A D33|\|B33:GAMING/[FOCUS]\M|X,"gaming, dubstep, focus, adrenaline, drum and bass",4876809,Current Value featuring Snow-Edge of Dreams-clip,Section 8 Recordings
688472,439280,kokdeblade A.k.A D33|\|B33:GAMING/[FOCUS]\M|X,"gaming, dubstep, focus, adrenaline, drum and bass",4877055,Noisia - Stigma (Split the Atom),NOISIA
